ID;Kname;Kstrasse;KPlz;Kort;Ktyp;Kgruppe;Kart;Latitude;Longitude
10254869;Rewe Markt (Extra 8192);XANTENER STR. / OYWEG;47546;KALKAR;GROSSE VM 1500 - 4999 QM;LEH;Outlet;51.730563;6.29942
10254909;Rewe Gronert oHG;SCHOENFLIESSER STR. 15;16552;SCHILDOW;KLEINE VM 800 - 1499 QM;LEH;Outlet;52.6417975;13.3732144
10102819;E Aktiv Markt Steck;FRANZ-KOBINGER-STR. 9;86157;AUGSBURG;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.3617431;10.8722687
10251573;E Neukauf Vilsbiburg;FRONTENHAUSENER STR. 64;84137;VILSBIBURG;GROSSE VM 1500 - 4999 QM;LEH;Outlet;48.451496;12.3596026
10253167;Rewe Regie 055;ALTENHOEFERALLEE / RIEDBERGALLEE;60438;FRANKFURT AM MAIN;GROSSE VM 1500 - 4999 QM;LEH;Outlet;50.1772226;8.6291821
10210431;Konsum Leipzig eG;SELLINERSTRASSE;04207;LEIPZIG;L E H  400 - 799 QM (SM);LEH;Outlet;51.3131154;12.2615127
10169427;Rewe Krueger oHG;SONNEBORNER STRASSE;99869;GOLDBACH;KLEINE VM 800 - 1499 QM;LEH;Outlet;50.9938075;10.6556912
10100754;Klaas & Kock 131;AFFHUEPPEN ESCH;48231;WARENDORF;KLEINE VM 800 - 1499 QM;LEH;Outlet;51.94873;8.0099361
10147229;REWE Grossverbraucherservice;DRATELNSTR. 20;21109;HAMBURG;SONSTIGE DIREKTKUNDEN IMPULS;Impuls;Outlet;53.50339;10.00434
10106644;E Center Herkules 1897;OSTPREUSSENSTRASSE;63688;GEDERN;GROSSE VM 1500 - 4999 QM;LEH;Outlet;50.4295185;9.1945835
10100650;E Neukauf Rain;MUENCHENER STR. 10;86641;RAIN;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.6894926;10.9201842
10146360;E Neukauf Petershausen;MUENCHENER STR. 5;85238;PETERSHAUSEN;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.4094078;11.4702449
10190247;Rewe Markt (Extra 1310);SCHWARTEMEIERSTR. 23;32257;BUENDE;GROSSE VM 1500 - 4999 QM;LEH;Outlet;52.19039;8.57816
10253018;Rewe Regie 934;HERFORDER STR. 42;32602;VLOTHO;KLEINE VM 800 - 1499 QM;LEH;Outlet;52.1619033;8.849698
10169730;E Neukauf Ingolstadt;HINDENBURGSTR. 66;85057;INGOLSTADT;KLEINE VM 800 - 1499 QM;LEH;Outlet;48.7755111;11.4177616
10254815;Tengelmann 69555;UMGEHUNGSSTR. 1;56355;NASTAETTEN;KLEINE VM 800 - 1499 QM;LEH;Outlet;50.1983526;7.8570246
